input,output,label
"Write a python function to find the first repeated character in a given string.
","def first_repeated_char(s):
    count = {}
    for char in s:
        if char in count:
            return char
        count[char] = 1
    return None","def first_repeated_char(str1):
  for index,c in enumerate(str1):
    if str1[:index+1].count(c) > 1:
      return c"
"Write a function to get all lucid numbers smaller than or equal to a given integer.
","###Output:
def lucid_numbers(n):
    """"""
    :type n: int
    :rtype: List[int]
    """"""
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
    
","def get_ludic(n):
	ludics = []
	for i in range(1, n + 1):
		ludics.append(i)
	index = 1
	while(index != len(ludics)):
		first_ludic = ludics[index]
		remove_index = index + first_ludic
		while(remove_index < len(ludics)):
			ludics.remove(ludics[remove_index])
			remove_index = remove_index + first_ludic - 1
		index += 1
	return ludics"
"Write a function to reverse words seperated by spaces in a given string.
","def reverse_words(s):
    words = s.split()
    words.reverse()
    return ' '.join(words)","def reverse_words(s):
        return ' '.join(reversed(s.split()))"
"Write a function to check if the given integer is a prime number.
","###Output:
def is_prime(n):
    """"""
    Check if the given integer is a prime number.
    
    A prime number is a natural number greater than 1 that has no positive divisors other than 1 and itself.
    
    Parameters:
    n (int): The integer to check for primality.
    
    Returns:
    bool: True if n is a prime number, False otherwise.
    """"""
    if n <= 1:
        return False
    if n <= 3:
        return True
    if n % 2 == 0 or n % 3 == 0:
        return False
    i = 5
    while i * i <= n:
        if n % i == 0 or n % (i + 2) == 0:
            return False
        i += 6
    return True

#","def prime_num(num):
  if num >=1:
   for i in range(2, num//2):
     if (num % i) == 0:
                return False
     else:
                return True
  else:
          return False"
"Write a function to convert degrees to radians.
","###Output:
def deg2rad(deg):
    return deg * math.pi / 180","import math
def radian_degree(degree):
 radian = degree*(math.pi/180)
 return radian"
"Write a function to search a string for a regex pattern. The function should return the matching subtring, a start index and an end index.
","import re
def search(string, pattern): match = re.search(pattern, string) if match: matching_substring = match.group() start_index = match.start() end_index = match.end() return matching_substring, start_index, end_index else: return None, None, None","import re

def find_literals(text, pattern):
  match = re.search(pattern, text)
  s = match.start()
  e = match.end()
  return (match.re.pattern, s, e)"
"Write a python function to find nth bell number.
","def bell(n): """""" :type n: int :rtype: int """""" bell_numbers = [[1]] for i in range(1, n): previous_row = bell_numbers[i-1] current_row = [previous_row[-1]] for j in range(i): current_row.append(current_row[-1] + previous_row[j]) bell_numbers.append(current_row + [current_row[-1]]) return bell_numbers[-1][-1]","def bell_Number(n): 
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1):
        bell[i][0] = bell[i-1][i-1]
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1] 
    return bell[n][0] "
"Write a python function which takes a list and returns a list with the same elements, but the k'th element removed.
","###Output:
def remove_kth_element(lst, k):
    # your code here
    return lst[:k] + lst[k+1:]","def remove_kth_element(list1, L):
    return  list1[:L-1] + list1[L:]"
"Write a function which given a matrix represented as a list of lists returns the max of the n'th column.
","matrix = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]assert max_column(matrix, 0) == 7assert max_column(matrix, 1) == 5assert max_column(matrix, 2) == 9","def max_of_nth(test_list, N):
  res = max([sub[N] for sub in test_list])
  return (res) "
"Write a python function which takes a list of lists, where each sublist has two elements, and returns a list of two lists where the first list has the first element of each sublist and the second one has the second.
","def list_of_lists_to_two_lists(list_of_lists): first_list = [sublist[0] for sublist in list_of_lists] second_list = [sublist[1] for sublist in list_of_lists] return [first_list, second_list]","def merge(lst):  
    return [list(ele) for ele in list(zip(*lst))] "
